"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2025","5,973.8","5,963.2","6,017.9","5,952.2","","0.18%"
"06/19/2025","5,962.9","5,980.2","5,981.0","5,916.9","","-0.29%"
"06/18/2025","5,980.5","5,968.9","6,018.4","5,968.9","","0.20%"
"06/17/2025","5,968.8","5,995.8","6,023.7","5,962.4","","-0.45%"
"06/16/2025","5,995.5","5,983.9","6,050.6","5,979.3","","0.19%"
"06/15/2025","5,984.3","5,944.9","5,986.1","5,944.9","","0.15%"
"06/13/2025","5,975.5","6,011.3","6,026.4","5,924.5","","-0.59%"
"06/12/2025","6,011.1","6,014.5","6,045.8","5,984.4","","-0.05%"
"06/11/2025","6,014.3","6,036.6","6,069.3","6,001.9","","-0.38%"
"06/10/2025","6,037.1","6,008.0","6,047.0","5,986.1","","0.48%"
"06/09/2025","6,008.2","5,995.7","6,021.5","5,984.7","","0.22%"
"06/08/2025","5,995.2","6,003.5","6,007.7","5,987.6","","-0.12%"
"06/06/2025","6,002.6","5,939.8","6,017.9","5,939.8","","1.06%"
"06/05/2025","5,939.9","5,965.9","6,005.8","5,920.7","","-0.43%"
"06/04/2025","5,965.6","5,974.4","5,989.9","5,964.4","","-0.15%"
"06/03/2025","5,974.6","5,925.8","5,981.3","5,900.4","","0.83%"
"06/02/2025","5,925.6","5,887.5","5,945.1","5,857.1","","0.65%"
"06/01/2025","5,887.6","5,886.9","5,898.3","5,882.4","","-0.27%"
"05/30/2025","5,903.8","5,893.9","5,922.5","5,843.7","","0.17%"
"05/29/2025","5,894.0","5,979.7","5,995.8","5,873.0","","-1.43%"
"05/28/2025","5,979.5","5,924.5","5,985.2","5,880.9","","0.93%"
"05/27/2025","5,924.6","5,865.7","5,928.8","5,849.7","","1.00%"
"05/26/2025","5,865.8","5,852.4","5,881.4","5,848.3","","0.23%"
"05/25/2025","5,852.1","5,806.8","5,862.6","5,800.0","","0.87%"
"05/23/2025","5,801.4","5,845.8","5,857.6","5,743.5","","-0.76%"
"05/22/2025","5,845.6","5,844.5","5,878.4","5,812.8","","0.02%"
"05/21/2025","5,844.3","5,937.6","5,940.6","5,831.0","","-1.57%"
"05/20/2025","5,937.7","5,969.5","5,973.1","5,909.4","","-0.53%"
"05/19/2025","5,969.3","5,921.5","5,973.7","5,874.1","","0.81%"
"05/18/2025","5,921.4","5,902.3","5,928.9","5,902.3","","-0.14%"
"05/16/2025","5,929.9","5,917.0","5,959.0","5,904.1","","0.22%"
"05/15/2025","5,916.8","5,876.8","5,924.7","5,847.5","","0.68%"
"05/14/2025","5,877.0","5,889.0","5,906.1","5,871.3","","-0.21%"
"05/13/2025","5,889.4","5,837.2","5,907.1","5,816.6","","0.89%"
"05/12/2025","5,837.3","5,726.8","5,856.0","5,724.9","","1.93%"
"05/11/2025","5,726.9","5,742.0","5,742.0","5,715.8","","1.10%"
"05/09/2025","5,664.6","5,660.4","5,695.8","5,644.6","","0.07%"
"05/08/2025","5,660.5","5,627.1","5,720.4","5,622.1","","0.60%"
"05/07/2025","5,627.0","5,652.3","5,661.6","5,577.4","","-0.44%"
"05/06/2025","5,652.1","5,645.9","5,669.0","5,585.0","","0.12%"
"05/05/2025","5,645.6","5,656.5","5,684.5","5,633.6","","-0.19%"
"05/04/2025","5,656.3","5,682.5","5,682.5","5,649.6","","-0.56%"
"05/02/2025","5,687.9","5,591.1","5,701.1","5,584.0","","1.75%"
"05/01/2025","5,590.3","5,611.1","5,658.7","5,578.6","","-0.36%"
"04/30/2025","5,610.7","5,546.1","5,615.2","5,431.3","","1.15%"
"04/29/2025","5,547.1","5,530.4","5,572.3","5,496.8","","0.30%"
"04/28/2025","5,530.3","5,504.6","5,552.1","5,468.4","","0.46%"
"04/27/2025","5,504.9","5,520.5","5,520.5","5,501.3","","-0.39%"
"04/25/2025","5,526.4","5,500.4","5,532.9","5,452.4","","0.48%"
"04/24/2025","5,500.1","5,384.0","5,512.6","5,327.5","","2.16%"
"04/23/2025","5,383.9","5,384.0","5,469.9","5,349.9","","0.01%"
"04/22/2025","5,383.6","5,176.4","5,395.4","5,169.4","","4.01%"
"04/21/2025","5,176.1","5,264.6","5,274.6","5,101.2","","-1.69%"
"04/20/2025","5,265.0","5,257.3","5,278.0","5,251.2","","-0.62%"
"04/17/2025","5,297.9","5,279.1","5,341.6","5,256.5","","0.36%"
"04/16/2025","5,278.8","5,352.8","5,391.3","5,220.6","","-1.39%"
"04/15/2025","5,353.0","5,387.3","5,450.8","5,342.5","","-0.64%"
"04/14/2025","5,387.6","5,395.9","5,463.4","5,357.3","","-0.16%"
"04/13/2025","5,396.4","5,430.5","5,430.5","5,376.6","","0.65%"
"04/11/2025","5,361.3","5,239.8","5,382.2","5,173.1","","2.31%"
"04/10/2025","5,240.5","5,477.5","5,480.9","5,115.0","","-4.33%"
"04/09/2025","5,477.8","4,924.3","5,491.8","4,842.0","","11.23%"
"04/08/2025","4,924.9","5,114.5","5,270.1","4,895.8","","-3.72%"
"04/07/2025","5,115.0","4,880.0","5,249.8","4,808.4","","4.82%"
"04/06/2025","4,879.7","4,966.2","4,966.2","4,802.7","","-3.61%"
"04/04/2025","5,062.7","5,385.0","5,397.4","5,040.4","","-5.98%"
"04/03/2025","5,384.9","5,470.5","5,521.1","5,370.4","","-1.54%"
"04/02/2025","5,468.9","5,640.6","5,728.6","5,440.1","","-3.04%"
"04/01/2025","5,640.1","5,592.9","5,651.9","5,557.9","","0.84%"
"03/31/2025","5,593.0","5,548.1","5,627.9","5,489.6","","0.81%"
"03/30/2025","5,548.0","5,544.3","5,555.1","5,535.9","","-0.17%"
"03/28/2025","5,557.4","5,690.1","5,701.6","5,557.4","","-2.32%"
"03/27/2025","5,689.6","5,699.1","5,731.7","5,672.3","","-0.17%"
"03/26/2025","5,699.4","5,783.4","5,787.6","5,684.6","","-1.46%"
"03/25/2025","5,783.8","5,760.3","5,787.5","5,750.9","","0.41%"
"03/24/2025","5,760.1","5,701.8","5,772.9","5,699.9","","1.03%"
"03/23/2025","5,701.4","5,690.9","5,703.3","5,690.3","","0.57%"
"03/21/2025","5,668.9","5,663.3","5,672.8","5,601.0","","0.09%"
"03/20/2025","5,663.7","5,694.0","5,711.7","5,629.8","","-0.53%"
"03/19/2025","5,693.9","5,618.9","5,715.8","5,604.1","","1.33%"
"03/18/2025","5,619.1","5,676.5","5,681.0","5,597.0","","-1.02%"
"03/17/2025","5,677.0","5,606.1","5,703.7","5,596.3","","1.27%"
"03/16/2025","5,605.8","5,621.8","5,628.5","5,599.8","","-0.35%"
"03/14/2025","5,625.6","5,548.4","5,644.9","5,543.4","","1.38%"
"03/13/2025","5,548.9","5,616.5","5,618.3","5,504.6","","-1.20%"
"03/12/2025","5,616.2","5,588.0","5,667.6","5,545.0","","0.51%"
"03/11/2025","5,587.9","5,595.8","5,644.9","5,528.6","","-0.14%"
"03/10/2025","5,595.5","5,725.1","5,750.1","5,564.2","","-2.29%"
"03/09/2025","5,726.4","5,743.5","5,743.5","5,704.0","","-0.67%"
"03/07/2025","5,764.8","5,757.3","5,783.5","5,665.7","","0.13%"
"03/06/2025","5,757.4","5,836.9","5,842.0","5,712.0","","-1.37%"
"03/05/2025","5,837.4","5,824.8","5,860.4","5,743.0","","0.21%"
"03/04/2025","5,825.1","5,859.3","5,872.6","5,732.7","","-0.59%"
"03/03/2025","5,859.6","5,964.0","5,989.6","5,811.6","","-1.74%"
"03/02/2025","5,963.6","5,956.8","5,973.8","5,954.8","","0.28%"
"02/28/2025","5,946.9","5,875.8","5,959.9","5,837.2","","1.21%"
"02/27/2025","5,875.6","5,966.0","6,001.2","5,860.7","","-1.52%"
"02/26/2025","5,966.0","5,971.1","6,009.7","5,932.2","","-0.09%"
"02/25/2025","5,971.4","5,984.0","6,000.4","5,908.7","","-0.23%"
